FeaturePahang,RankingPahang,FeatureKedah,RankingKedah,FeatureJohor,RankingJohor,FeatureSelangor,RankingSelangor
"(8mth, Sarawak)",1,"(2mth, Sabah)",1,"(3day, Perak)",1,"(2day, Pulau Pinang)",1
"(8mth, Selangor)",1,"(2mth, Sarawak)",1,"(3day, Pulau Pinang)",1,"(2day, Sabah)",1
"(8mth, W.P. Kuala Lumpur)",1,"(2mth, Selangor)",1,"(3day, Sabah)",1,"(2day, Sarawak)",1
"(8mth, W.P. Labuan)",1,"(2mth, Terengganu)",1,"(3day, Sarawak)",1,"(2day, Selangor)",1
"(8mth, W.P. Putrajaya)",1,"(2mth, W.P. Kuala Lumpur)",1,"(3day, Selangor)",1,"(2day, Terengganu)",1
"(9mth, Kedah)",1,"(2mth, W.P. Labuan)",1,"(3day, Terengganu)",1,"(2day, W.P. Kuala Lumpur)",1
"(9mth, Melaka)",29,"(2mth, W.P. Putrajaya)",1,"(3day, W.P. Kuala Lumpur)",1,"(2mth, Johor)",1
"(9mth, Negeri Sembilan)",30,"(2week, Johor)",1,"(3day, W.P. Labuan)",1,"(2mth, Kedah)",1
,,"(2week, Kelantan)",1,"(3day, W.P. Putrajaya)",1,"(2mth, Kelantan)",1
,,"(2week, Negeri Sembilan)",1,"(3mth, Johor)",1,"(2mth, Melaka)",1
,,"(2week, Perlis)",29,"(3mth, Kedah)",1,"(2mth, Negeri Sembilan)",1
,,"(2week, Sabah)",8,"(3mth, Kelantan)",1,"(2mth, Pahang)",1
,,"(2week, Selangor)",1,"(3mth, Melaka)",1,"(2mth, Perak)",1
,,"(2week, Terengganu)",1,"(3mth, Negeri Sembilan)",1,"(2mth, Perlis)",1
,,"(2week, W.P. Kuala Lumpur)",1,"(3mth, Perak)",1,"(2mth, Pulau Pinang)",1
,,"(2week, W.P. Labuan)",10,"(3mth, Perlis)",12,"(2mth, Sabah)",1
,,"(2week, W.P. Putrajaya)",1,"(3mth, Pulau Pinang)",1,"(2mth, Sarawak)",1
,,"(3day, Johor)",1,"(3mth, Sabah)",1,"(2mth, Selangor)",1
,,"(3day, Kedah)",1,"(3mth, Sarawak)",1,"(2mth, Terengganu)",1
,,"(3day, Kelantan)",1,"(3mth, Selangor)",1,"(2mth, W.P. Kuala Lumpur)",1
,,"(3day, Melaka)",1,"(3mth, Terengganu)",1,"(2mth, W.P. Labuan)",1
,,"(3day, Negeri Sembilan)",1,"(3mth, W.P. Kuala Lumpur)",1,"(2mth, W.P. Putrajaya)",30
,,"(3day, Pahang)",1,"(3mth, W.P. Labuan)",1,"(2week, Kedah)",29
,,"(3day, Perak)",1,"(3mth, W.P. Putrajaya)",1,"(2week, Kelantan)",1
,,"(3day, Perlis)",1,"(3week, Johor)",1,"(2week, Melaka)",1
,,"(3day, Pulau Pinang)",1,"(3week, Kedah)",1,"(2week, Negeri Sembilan)",16
,,"(3day, Sabah)",1,"(3week, Kelantan)",1,"(2week, Pahang)",1
,,"(3day, Sarawak)",1,"(3week, Melaka)",1,"(2week, Perak)",1
,,"(3day, Selangor)",1,"(3week, Negeri Sembilan)",1,"(2week, Perlis)",11
,,"(3day, W.P. Kuala Lumpur)",1,"(3week, Pahang)",1,"(2week, Pulau Pinang)",8
,,"(3day, W.P. Labuan)",1,"(3week, Pulau Pinang)",1,"(2week, Sabah)",4
,,"(3day, W.P. Putrajaya)",1,"(3week, Sabah)",1,"(2week, Sarawak)",1
,,"(3mth, Johor)",1,"(3week, Sarawak)",1,"(2week, Selangor)",1
,,"(3mth, Kedah)",1,"(3week, Selangor)",1,"(2week, Terengganu)",1
,,"(3mth, Kelantan)",1,"(3week, W.P. Kuala Lumpur)",1,"(2week, W.P. Kuala Lumpur)",1
,,"(3mth, Melaka)",1,"(3week, W.P. Labuan)",1,"(2week, W.P. Labuan)",1
,,"(3mth, Negeri Sembilan)",1,"(3week, W.P. Putrajaya)",1,"(2week, W.P. Putrajaya)",1
,,"(3mth, Pahang)",1,"(4day, Johor)",1,"(3day, Johor)",1
,,"(3mth, Perak)",1,"(4day, Kedah)",1,"(3day, Kedah)",1
,,"(3mth, Perlis)",1,"(4day, Kelantan)",1,"(3day, Kelantan)",1
,,"(3mth, Pulau Pinang)",1,"(4day, Melaka)",1,"(3day, Melaka)",1
,,"(3mth, Sabah)",1,"(4day, Negeri Sembilan)",1,"(3day, Negeri Sembilan)",1
,,"(3mth, Sarawak)",1,"(4day, Pahang)",1,"(3day, Pahang)",1
,,"(3mth, Selangor)",1,"(4day, Perlis)",1,"(3day, Perak)",1
,,"(3mth, Terengganu)",1,"(4day, Pulau Pinang)",1,"(3day, Perlis)",1
,,"(3mth, W.P. Labuan)",1,"(4day, Sabah)",1,"(3day, Pulau Pinang)",1
,,"(3mth, W.P. Putrajaya)",1,"(4day, Sarawak)",1,"(3day, Sabah)",1
,,"(3week, Johor)",1,"(4day, Selangor)",1,"(3day, Sarawak)",1
,,"(3week, Kedah)",1,"(4day, Terengganu)",1,"(3day, Selangor)",1
,,"(3week, Kelantan)",1,"(4day, W.P. Kuala Lumpur)",1,"(3day, Terengganu)",1
,,"(3week, Melaka)",1,"(4day, W.P. Labuan)",1,"(3day, W.P. Kuala Lumpur)",1
,,"(3week, Negeri Sembilan)",1,"(4day, W.P. Putrajaya)",1,"(3day, W.P. Labuan)",1
,,"(3week, Pahang)",1,"(4mth, Johor)",1,"(3day, W.P. Putrajaya)",1
,,"(3week, Perak)",1,"(4mth, Kedah)",1,"(3mth, Johor)",1
,,"(3week, Perlis)",1,"(4mth, Kelantan)",1,"(3mth, Kedah)",1
,,"(3week, Pulau Pinang)",1,"(4mth, Melaka)",1,"(3mth, Kelantan)",1
,,"(3week, Sabah)",1,"(4mth, Negeri Sembilan)",1,"(3mth, Melaka)",1
,,"(3week, Sarawak)",1,"(4mth, Pahang)",1,"(3mth, Negeri Sembilan)",1
,,"(3week, Selangor)",1,"(4mth, Perak)",1,"(3mth, Pahang)",1
,,"(3week, Terengganu)",12,"(4mth, Perlis)",1,"(3mth, Perak)",1
,,"(3week, W.P. Kuala Lumpur)",1,"(4mth, Pulau Pinang)",1,"(3mth, Perlis)",1
,,"(3week, W.P. Labuan)",1,"(4mth, Sabah)",1,"(3mth, Pulau Pinang)",1
,,"(3week, W.P. Putrajaya)",1,"(4mth, Sarawak)",1,"(3mth, Sabah)",1
,,"(4day, Johor)",1,"(4mth, Selangor)",1,"(3mth, Sarawak)",1
,,"(4day, Kedah)",11,"(4mth, Terengganu)",1,"(3mth, Selangor)",1
,,"(4day, Kelantan)",1,"(4mth, W.P. Kuala Lumpur)",1,"(3mth, Terengganu)",1
,,"(4day, Melaka)",1,"(4mth, W.P. Labuan)",1,"(3mth, W.P. Kuala Lumpur)",1
,,"(4day, Pahang)",1,"(4mth, W.P. Putrajaya)",1,"(3mth, W.P. Labuan)",1
,,"(4day, Perak)",1,"(4week, Johor)",1,"(3mth, W.P. Putrajaya)",1
,,"(4day, Perlis)",1,"(4week, Kedah)",1,"(3week, Johor)",1
,,"(4day, Pulau Pinang)",1,"(4week, Kelantan)",24,"(3week, Kedah)",1
,,"(4day, Sabah)",1,"(4week, Melaka)",1,"(3week, Kelantan)",1
,,"(4day, Sarawak)",1,"(4week, Negeri Sembilan)",1,"(3week, Melaka)",1
,,"(4day, Selangor)",1,"(4week, Pahang)",1,"(3week, Negeri Sembilan)",1
,,"(4day, Terengganu)",1,"(4week, Perak)",1,"(3week, Pahang)",1
,,"(4day, W.P. Kuala Lumpur)",1,"(4week, Pulau Pinang)",1,"(3week, Perak)",1
,,"(4day, W.P. Labuan)",1,"(4week, Sabah)",1,"(3week, Perlis)",1
,,"(4day, W.P. Putrajaya)",1,"(4week, Sarawak)",1,"(3week, Pulau Pinang)",1
,,"(4mth, Johor)",1,"(4week, Terengganu)",1,"(3week, Sabah)",1
,,"(4mth, Kedah)",1,"(4week, W.P. Kuala Lumpur)",1,"(3week, Sarawak)",1
,,"(4mth, Melaka)",1,"(4week, W.P. Labuan)",1,"(3week, Selangor)",1
,,"(4mth, Negeri Sembilan)",1,"(4week, W.P. Putrajaya)",1,"(3week, Terengganu)",1
,,"(4mth, Pahang)",1,"(5day, Johor)",1,"(3week, W.P. Kuala Lumpur)",1
,,"(4mth, Perak)",1,"(5day, Kelantan)",1,"(3week, W.P. Labuan)",1
,,"(4mth, Perlis)",1,"(5day, Melaka)",1,"(3week, W.P. Putrajaya)",1
,,"(4mth, Pulau Pinang)",1,"(5day, Negeri Sembilan)",1,"(4day, Johor)",1
,,"(4mth, Sabah)",1,"(5day, Pahang)",1,"(4day, Kedah)",1
,,"(4mth, Sarawak)",9,"(5day, Perak)",1,"(4day, Kelantan)",1
,,"(4mth, Selangor)",1,"(5day, Pulau Pinang)",1,"(4day, Melaka)",1
,,"(4mth, Terengganu)",1,"(5day, Sabah)",1,"(4day, Negeri Sembilan)",1
,,"(4mth, W.P. Kuala Lumpur)",1,"(5day, Sarawak)",1,"(4day, Pahang)",1
,,"(4mth, W.P. Labuan)",1,"(5day, W.P. Kuala Lumpur)",1,"(4day, Perlis)",1
,,"(4mth, W.P. Putrajaya)",1,"(5day, W.P. Labuan)",1,"(4day, Pulau Pinang)",1
,,"(4week, Johor)",1,"(5day, W.P. Putrajaya)",1,"(4day, Sabah)",1
,,"(4week, Kedah)",1,"(5mth, Johor)",1,"(4day, Sarawak)",1
,,"(4week, Kelantan)",1,"(5mth, Kedah)",1,"(4day, Selangor)",1
,,"(4week, Melaka)",1,"(5mth, Kelantan)",1,"(4day, Terengganu)",1
,,"(4week, Negeri Sembilan)",1,"(5mth, Melaka)",1,"(4day, W.P. Kuala Lumpur)",1
,,"(4week, Pahang)",1,"(5mth, Negeri Sembilan)",1,"(4day, W.P. Labuan)",1
,,"(4week, Perak)",1,"(5mth, Pahang)",1,"(4day, W.P. Putrajaya)",1
,,"(4week, Perlis)",1,"(5mth, Perak)",1,"(4mth, Johor)",1
,,"(4week, Pulau Pinang)",1,"(5mth, Perlis)",1,"(4mth, Kedah)",1
,,"(4week, Sabah)",1,"(5mth, Pulau Pinang)",1,"(4mth, Kelantan)",1
,,"(4week, Sarawak)",1,"(5mth, Sabah)",1,"(4mth, Melaka)",1
,,"(4week, Selangor)",1,"(5mth, Sarawak)",1,"(4mth, Negeri Sembilan)",1
,,"(4week, Terengganu)",1,"(5mth, Selangor)",1,"(4mth, Pahang)",1
,,"(4week, W.P. Kuala Lumpur)",1,"(5mth, Terengganu)",1,"(4mth, Perak)",1
,,"(4week, W.P. Labuan)",1,"(5mth, W.P. Kuala Lumpur)",1,"(4mth, Perlis)",1
,,"(4week, W.P. Putrajaya)",1,"(5mth, W.P. Labuan)",1,"(4mth, Pulau Pinang)",1
,,"(5day, Johor)",1,"(5mth, W.P. Putrajaya)",1,"(4mth, Sabah)",1
,,"(5day, Kedah)",22,"(6day, Johor)",1,"(4mth, Sarawak)",1
,,"(5day, Kelantan)",1,"(6day, Kedah)",1,"(4mth, Selangor)",1
,,"(5day, Melaka)",1,"(6day, Kelantan)",1,"(4mth, Terengganu)",1
,,"(5day, Negeri Sembilan)",1,"(6day, Melaka)",1,"(4mth, W.P. Kuala Lumpur)",1
,,"(5day, Pahang)",1,"(6day, Negeri Sembilan)",1,"(4mth, W.P. Labuan)",1
,,"(5day, Perak)",1,"(6day, Pahang)",1,"(4mth, W.P. Putrajaya)",1
,,"(5day, Perlis)",1,"(6day, Perak)",1,"(4week, Johor)",1
,,"(5day, Pulau Pinang)",1,"(6day, Perlis)",1,"(4week, Kedah)",1
,,"(5day, Sabah)",1,"(6day, Sabah)",1,"(4week, Kelantan)",28
,,"(5day, Sarawak)",1,"(6day, Sarawak)",1,"(4week, Melaka)",1
,,"(5day, Selangor)",1,"(6day, Terengganu)",1,"(4week, Negeri Sembilan)",1
,,"(5day, Terengganu)",1,"(6day, W.P. Kuala Lumpur)",1,"(4week, Pahang)",1
,,"(5day, W.P. Kuala Lumpur)",1,"(6day, W.P. Labuan)",1,"(4week, Perak)",1
,,"(5day, W.P. Labuan)",1,"(6mth, Johor)",1,"(4week, Perlis)",1
,,"(5day, W.P. Putrajaya)",1,"(6mth, Kedah)",1,"(4week, Pulau Pinang)",1
,,"(5mth, Johor)",1,"(6mth, Kelantan)",1,"(4week, Sabah)",1
,,"(5mth, Kedah)",1,"(6mth, Melaka)",1,"(4week, Sarawak)",1
,,"(5mth, Kelantan)",1,"(6mth, Negeri Sembilan)",1,"(4week, Selangor)",1
,,"(5mth, Melaka)",1,"(6mth, Pahang)",1,"(4week, Terengganu)",1
,,"(5mth, Negeri Sembilan)",1,"(6mth, Perak)",1,"(4week, W.P. Kuala Lumpur)",1
,,"(5mth, Pahang)",1,"(6mth, Pulau Pinang)",1,"(4week, W.P. Labuan)",1
,,"(5mth, Perak)",1,"(6mth, Selangor)",1,"(5day, Johor)",1
,,"(5mth, Perlis)",1,"(6mth, Terengganu)",1,"(5day, Kedah)",1
,,"(5mth, Pulau Pinang)",1,"(6mth, W.P. Kuala Lumpur)",1,"(5day, Kelantan)",1
,,"(5mth, Sabah)",1,"(6mth, W.P. Labuan)",1,"(5day, Melaka)",1
,,"(5mth, Sarawak)",1,"(6mth, W.P. Putrajaya)",1,"(5day, Negeri Sembilan)",1
,,"(5mth, Selangor)",1,"(7mth, Johor)",1,"(5day, Pahang)",1
,,"(5mth, Terengganu)",1,"(7mth, Kedah)",1,"(5day, Perak)",1
,,"(5mth, W.P. Kuala Lumpur)",1,"(7mth, Kelantan)",1,"(5day, Perlis)",1
,,"(5mth, W.P. Labuan)",1,"(7mth, Melaka)",1,"(5day, Pulau Pinang)",1
,,"(5mth, W.P. Putrajaya)",1,"(7mth, Negeri Sembilan)",1,"(5day, Sabah)",1
,,"(6day, Kelantan)",1,"(7mth, Pahang)",1,"(5day, Sarawak)",1
,,"(6day, Melaka)",1,"(7mth, Perak)",1,"(5day, Selangor)",1
,,"(6day, Negeri Sembilan)",1,"(7mth, Pulau Pinang)",1,"(5day, Terengganu)",1
,,"(6day, Pahang)",1,"(7mth, Sabah)",1,"(5day, W.P. Kuala Lumpur)",1
,,"(6day, Perak)",1,"(7mth, Sarawak)",1,"(5day, W.P. Labuan)",1
,,"(6day, Perlis)",1,"(7mth, Selangor)",1,"(5day, W.P. Putrajaya)",17
,,"(6day, Pulau Pinang)",1,"(7mth, Terengganu)",1,"(5mth, Johor)",1
,,"(6day, Sabah)",1,"(7mth, W.P. Kuala Lumpur)",1,"(5mth, Kedah)",1
,,"(6day, Sarawak)",1,"(7mth, W.P. Labuan)",1,"(5mth, Kelantan)",1
,,"(6day, Selangor)",1,"(7mth, W.P. Putrajaya)",1,"(5mth, Melaka)",1
,,"(6day, Terengganu)",1,"(8mth, Johor)",1,"(5mth, Negeri Sembilan)",1
,,"(6day, W.P. Kuala Lumpur)",1,"(8mth, Kedah)",1,"(5mth, Pahang)",1
,,"(6day, W.P. Labuan)",1,"(8mth, Kelantan)",1,"(5mth, Perak)",1
,,"(6day, W.P. Putrajaya)",1,"(8mth, Melaka)",1,"(5mth, Perlis)",1
,,"(6mth, Johor)",1,"(8mth, Negeri Sembilan)",1,"(5mth, Pulau Pinang)",1
,,"(6mth, Kelantan)",1,"(8mth, Pahang)",1,"(5mth, Sabah)",1
,,"(6mth, Melaka)",1,"(8mth, Perak)",1,"(5mth, Sarawak)",1
,,"(6mth, Negeri Sembilan)",1,"(8mth, Perlis)",5,"(5mth, Selangor)",1
,,"(6mth, Pahang)",1,"(8mth, Pulau Pinang)",1,"(5mth, Terengganu)",1
,,"(6mth, Perak)",1,"(8mth, Sabah)",1,"(5mth, W.P. Kuala Lumpur)",1
,,"(6mth, Perlis)",1,"(8mth, Sarawak)",1,"(5mth, W.P. Labuan)",1
,,"(6mth, Sabah)",1,"(8mth, Selangor)",1,"(5mth, W.P. Putrajaya)",1
,,"(6mth, Sarawak)",1,"(8mth, Terengganu)",1,"(6day, Johor)",1
,,"(6mth, Selangor)",1,"(8mth, W.P. Kuala Lumpur)",1,"(6day, Kedah)",1
,,"(6mth, Terengganu)",1,"(8mth, W.P. Labuan)",1,"(6day, Kelantan)",1
,,"(6mth, W.P. Kuala Lumpur)",1,"(8mth, W.P. Putrajaya)",1,"(6day, Melaka)",1
,,"(6mth, W.P. Labuan)",1,"(9mth, Johor)",1,"(6day, Negeri Sembilan)",1
,,"(6mth, W.P. Putrajaya)",1,"(9mth, Kedah)",1,"(6day, Pahang)",1
,,"(7mth, Johor)",1,"(9mth, Kelantan)",1,"(6day, Perak)",1
,,"(7mth, Kedah)",1,"(9mth, Melaka)",1,"(6day, Perlis)",1
,,"(7mth, Kelantan)",1,"(9mth, Negeri Sembilan)",1,"(6day, Pulau Pinang)",1
,,"(7mth, Melaka)",1,"(9mth, Pahang)",1,"(6day, Sabah)",1
,,"(7mth, Negeri Sembilan)",1,"(9mth, Perak)",1,"(6day, Sarawak)",1
,,"(7mth, Pahang)",1,"(9mth, Perlis)",1,"(6day, Selangor)",1
,,"(7mth, Perak)",1,"(9mth, Pulau Pinang)",1,"(6day, Terengganu)",1
,,"(7mth, Perlis)",1,"(9mth, Sabah)",1,"(6day, W.P. Kuala Lumpur)",1
,,"(7mth, Pulau Pinang)",1,"(9mth, Sarawak)",1,"(6day, W.P. Labuan)",1
,,"(7mth, Sabah)",1,"(9mth, Selangor)",1,"(6day, W.P. Putrajaya)",1
,,"(7mth, Sarawak)",1,"(9mth, Terengganu)",1,"(6mth, Johor)",1
,,"(7mth, Selangor)",1,"(9mth, W.P. Kuala Lumpur)",1,"(6mth, Kedah)",1
,,"(7mth, Terengganu)",1,"(9mth, W.P. Labuan)",1,"(6mth, Kelantan)",1
,,"(7mth, W.P. Kuala Lumpur)",1,"(9mth, W.P. Putrajaya)",1,"(6mth, Melaka)",1
,,"(7mth, W.P. Labuan)",1,"(cases_new, Kedah)",1,"(6mth, Negeri Sembilan)",1
,,"(7mth, W.P. Putrajaya)",1,"(cases_new, Kelantan)",1,"(6mth, Pahang)",1
,,"(8mth, Johor)",1,"(cases_new, Melaka)",1,"(6mth, Perak)",1
,,"(8mth, Kedah)",1,"(cases_new, Negeri Sembilan)",1,"(6mth, Perlis)",1
,,"(8mth, Kelantan)",1,"(cases_new, Pahang)",6,"(6mth, Pulau Pinang)",1
,,"(8mth, Melaka)",1,"(cases_new, Perak)",7,"(6mth, Sabah)",1
,,"(8mth, Negeri Sembilan)",1,"(cases_new, Pulau Pinang)",11,"(6mth, Sarawak)",1
,,"(8mth, Pahang)",1,,,"(6mth, Selangor)",1
,,"(8mth, Perak)",1,,,"(6mth, Terengganu)",1
,,"(8mth, Perlis)",1,,,"(6mth, W.P. Kuala Lumpur)",1
,,"(8mth, Pulau Pinang)",1,,,"(6mth, W.P. Labuan)",1
,,"(8mth, Sabah)",1,,,"(6mth, W.P. Putrajaya)",1
,,"(8mth, Sarawak)",1,,,"(7mth, Johor)",1
,,"(8mth, Selangor)",1,,,"(7mth, Kedah)",1
,,"(8mth, Terengganu)",1,,,"(7mth, Melaka)",1
,,"(8mth, W.P. Kuala Lumpur)",1,,,"(7mth, Negeri Sembilan)",1
,,"(8mth, W.P. Labuan)",1,,,"(7mth, Pahang)",1
,,"(8mth, W.P. Putrajaya)",16,,,"(7mth, Perak)",1
,,"(9mth, Johor)",1,,,"(7mth, Perlis)",1
,,"(9mth, Kedah)",1,,,"(7mth, Pulau Pinang)",1
,,"(9mth, Kelantan)",1,,,"(7mth, Sabah)",1
,,"(9mth, Melaka)",1,,,"(7mth, Sarawak)",1
,,"(9mth, Negeri Sembilan)",1,,,"(7mth, Selangor)",1
,,"(9mth, Pahang)",1,,,"(7mth, Terengganu)",1
,,"(9mth, Perak)",1,,,"(7mth, W.P. Kuala Lumpur)",1
,,"(9mth, Pulau Pinang)",6,,,"(7mth, W.P. Labuan)",1
,,"(9mth, Sabah)",1,,,"(7mth, W.P. Putrajaya)",1
,,"(9mth, Sarawak)",1,,,"(8mth, Johor)",1
,,"(9mth, Selangor)",1,,,"(8mth, Kedah)",1
,,"(9mth, Terengganu)",1,,,"(8mth, Kelantan)",1
,,"(9mth, W.P. Kuala Lumpur)",1,,,"(8mth, Melaka)",1
,,"(9mth, W.P. Labuan)",1,,,"(8mth, Negeri Sembilan)",1
,,"(9mth, W.P. Putrajaya)",1,,,"(8mth, Pahang)",1
,,"(cases_new, Johor)",1,,,"(8mth, Perak)",1
,,"(cases_new, Kelantan)",1,,,"(8mth, Perlis)",1
,,"(cases_new, Melaka)",1,,,"(8mth, Pulau Pinang)",1
,,"(cases_new, Negeri Sembilan)",1,,,"(8mth, Sabah)",1
,,"(cases_new, Pahang)",4,,,"(8mth, Sarawak)",1
,,"(cases_new, Perak)",1,,,"(8mth, Selangor)",1
,,"(cases_new, Perlis)",1,,,"(8mth, Terengganu)",1
,,"(cases_new, Pulau Pinang)",1,,,"(8mth, W.P. Kuala Lumpur)",1
,,"(cases_new, Sabah)",1,,,"(8mth, W.P. Labuan)",1
,,"(cases_new, Sarawak)",1,,,"(8mth, W.P. Putrajaya)",1
,,"(cases_new, Selangor)",1,,,"(9mth, Johor)",1
,,"(cases_new, Terengganu)",23,,,"(9mth, Kedah)",1
,,"(cases_new, W.P. Kuala Lumpur)",1,,,"(9mth, Kelantan)",1
,,,,,,"(9mth, Melaka)",1
,,,,,,"(9mth, Negeri Sembilan)",1
